,Winner,Turn,Strategy,Goal
0,fuchsia,67,Passive,PP
1,black,29,Neutral,PP
2,royalblue,101,Aggressive,PP
3,black,40,Neutral,PP
4,fuchsia,58,Passive,PP
5,royalblue,36,Aggressive,PP
6,black,57,Neutral,PP
7,fuchsia,46,Passive,PP
8,fuchsia,41,Passive,PP
9,fuchsia,36,Passive,PP
10,royalblue,49,Aggressive,PP
11,black,58,Neutral,PP
12,fuchsia,31,Passive,PP
13,royalblue,45,Aggressive,PP
14,royalblue,38,Aggressive,PP
15,royalblue,54,Aggressive,PP
16,black,44,Neutral,PP
17,royalblue,38,Aggressive,PP
18,black,43,Neutral,PP
19,royalblue,35,Aggressive,PP
20,royalblue,46,Aggressive,PP
21,royalblue,36,Aggressive,PP
22,fuchsia,53,Passive,PP
23,royalblue,54,Aggressive,PP
24,fuchsia,50,Passive,PP
25,royalblue,40,Aggressive,PP
26,fuchsia,63,Passive,PP
27,fuchsia,64,Passive,PP
28,royalblue,33,Aggressive,PP
29,royalblue,60,Aggressive,PP
30,fuchsia,42,Passive,PP
31,fuchsia,59,Passive,PP
32,royalblue,48,Aggressive,PP
33,black,44,Neutral,PP
34,black,46,Neutral,PP
35,royalblue,48,Aggressive,PP
36,black,49,Neutral,PP
37,black,46,Neutral,PP
38,fuchsia,32,Passive,PP
39,black,62,Neutral,PP
40,black,50,Neutral,PP
41,black,49,Neutral,PP
42,black,42,Neutral,PP
43,royalblue,41,Aggressive,PP
44,fuchsia,40,Passive,PP
45,royalblue,51,Aggressive,PP
46,fuchsia,55,Passive,PP
47,royalblue,37,Aggressive,PP
48,fuchsia,39,Passive,PP
49,royalblue,38,Aggressive,PP
50,black,42,Neutral,PP
51,royalblue,59,Aggressive,PP
52,black,34,Neutral,PP
53,fuchsia,46,Passive,PP
54,royalblue,50,Aggressive,PP
55,fuchsia,33,Passive,PP
56,black,48,Neutral,PP
57,black,61,Neutral,PP
58,royalblue,28,Aggressive,PP
59,fuchsia,46,Passive,PP
60,royalblue,52,Aggressive,PP
61,black,55,Neutral,PP
62,black,54,Neutral,PP
63,black,33,Neutral,PP
64,fuchsia,37,Passive,PP
65,royalblue,38,Aggressive,PP
66,black,51,Neutral,PP
67,black,53,Neutral,PP
68,royalblue,46,Aggressive,PP
69,fuchsia,36,Passive,PP
70,black,54,Neutral,PP
71,royalblue,34,Aggressive,PP
72,fuchsia,42,Passive,PP
73,black,40,Neutral,PP
74,royalblue,56,Aggressive,PP
75,fuchsia,40,Passive,PP
76,black,43,Neutral,PP
77,fuchsia,37,Passive,PP
78,fuchsia,36,Passive,PP
79,black,40,Neutral,PP
80,royalblue,42,Aggressive,PP
81,fuchsia,48,Passive,PP
82,royalblue,40,Aggressive,PP
83,fuchsia,57,Passive,PP
84,black,42,Neutral,PP
85,black,45,Neutral,PP
86,fuchsia,70,Passive,PP
87,royalblue,42,Aggressive,PP
88,black,64,Neutral,PP
89,fuchsia,32,Passive,PP
90,fuchsia,71,Passive,PP
91,fuchsia,59,Passive,PP
92,royalblue,47,Aggressive,PP
93,fuchsia,35,Passive,PP
94,black,40,Neutral,PP
95,fuchsia,86,Passive,PP
96,black,51,Neutral,PP
97,black,39,Neutral,PP
98,royalblue,50,Aggressive,PP
99,royalblue,46,Aggressive,PP
100,royalblue,37,Aggressive,PP
101,royalblue,53,Aggressive,PP
102,black,55,Neutral,PP
103,fuchsia,36,Passive,PP
104,royalblue,38,Aggressive,PP
105,royalblue,35,Aggressive,PP
106,royalblue,45,Aggressive,PP
107,royalblue,58,Aggressive,PP
108,black,62,Neutral,PP
109,royalblue,44,Aggressive,PP
110,fuchsia,61,Passive,PP
111,black,42,Neutral,PP
112,royalblue,40,Aggressive,PP
113,royalblue,30,Aggressive,PP
114,royalblue,44,Aggressive,PP
115,fuchsia,53,Passive,PP
116,fuchsia,41,Passive,PP
117,black,71,Neutral,PP
118,black,41,Neutral,PP
119,royalblue,41,Aggressive,PP
120,fuchsia,100,Passive,PP
121,black,51,Neutral,PP
122,black,38,Neutral,PP
123,fuchsia,34,Passive,PP
124,royalblue,106,Aggressive,PP
125,black,41,Neutral,PP
126,black,44,Neutral,PP
127,fuchsia,44,Passive,PP
128,royalblue,49,Aggressive,PP
129,black,44,Neutral,PP
130,royalblue,40,Aggressive,PP
131,royalblue,39,Aggressive,PP
132,royalblue,51,Aggressive,PP
133,royalblue,54,Aggressive,PP
134,black,37,Neutral,PP
135,fuchsia,58,Passive,PP
136,black,54,Neutral,PP
137,royalblue,45,Aggressive,PP
138,black,54,Neutral,PP
139,fuchsia,41,Passive,PP
140,fuchsia,32,Passive,PP
141,royalblue,45,Aggressive,PP
142,fuchsia,40,Passive,PP
143,royalblue,45,Aggressive,PP
144,royalblue,38,Aggressive,PP
145,black,32,Neutral,PP
146,fuchsia,39,Passive,PP
147,black,43,Neutral,PP
148,black,48,Neutral,PP
149,black,59,Neutral,PP
150,black,51,Neutral,PP
151,royalblue,58,Aggressive,PP
152,royalblue,34,Aggressive,PP
153,black,45,Neutral,PP
154,fuchsia,55,Passive,PP
155,fuchsia,57,Passive,PP
156,royalblue,38,Aggressive,PP
157,fuchsia,41,Passive,PP
158,royalblue,37,Aggressive,PP
159,royalblue,55,Aggressive,PP
160,royalblue,40,Aggressive,PP
161,black,37,Neutral,PP
162,royalblue,41,Aggressive,PP
163,royalblue,39,Aggressive,PP
164,black,37,Neutral,PP
165,black,56,Neutral,PP
166,royalblue,53,Aggressive,PP
167,royalblue,48,Aggressive,PP
168,fuchsia,47,Passive,PP
169,black,42,Neutral,PP
170,royalblue,39,Aggressive,PP
171,fuchsia,40,Passive,PP
172,royalblue,58,Aggressive,PP
173,fuchsia,42,Passive,PP
174,fuchsia,46,Passive,PP
175,royalblue,55,Aggressive,PP
176,black,49,Neutral,PP
177,royalblue,58,Aggressive,PP
178,fuchsia,31,Passive,PP
179,fuchsia,56,Passive,PP
180,fuchsia,40,Passive,PP
181,black,57,Neutral,PP
182,fuchsia,33,Passive,PP
183,fuchsia,110,Passive,PP
184,black,39,Neutral,PP
185,royalblue,41,Aggressive,PP
186,black,39,Neutral,PP
187,fuchsia,49,Passive,PP
188,fuchsia,44,Passive,PP
189,black,95,Neutral,PP
190,black,60,Neutral,PP
191,royalblue,37,Aggressive,PP
192,fuchsia,38,Passive,PP
193,fuchsia,59,Passive,PP
194,royalblue,56,Aggressive,PP
195,black,46,Neutral,PP
196,royalblue,33,Aggressive,PP
197,fuchsia,101,Passive,PP
198,royalblue,56,Aggressive,PP
199,royalblue,38,Aggressive,PP
200,royalblue,25,Aggressive,BE
201,royalblue,25,Aggressive,BE
202,royalblue,32,Aggressive,BE
203,royalblue,31,Aggressive,BE
204,royalblue,29,Aggressive,BE
205,royalblue,37,Aggressive,BE
206,fuchsia,31,Passive,BE
207,royalblue,27,Aggressive,BE
208,black,30,Neutral,BE
209,black,28,Neutral,BE
210,fuchsia,33,Passive,BE
211,royalblue,30,Aggressive,BE
212,black,28,Neutral,BE
213,royalblue,28,Aggressive,BE
214,black,37,Neutral,BE
215,royalblue,28,Aggressive,BE
216,fuchsia,32,Passive,BE
217,royalblue,37,Aggressive,BE
218,royalblue,35,Aggressive,BE
219,royalblue,27,Aggressive,BE
220,black,31,Neutral,BE
221,royalblue,29,Aggressive,BE
222,fuchsia,34,Passive,BE
